-1.99,0.0048
-1.98,0.0056
-1.97,0.0036
-1.96,0.0096
-1.95,0.0052
-1.94,0.0056
-1.93,0.0044
-1.92,0.0048
-1.91,0.004
-1.9,0.0048
-1.89,0.006
-1.88,0.0032
-1.87,0.0052
-1.86,0.0048
-1.85,0.0036
-1.84,0.008
-1.83,0.0032
-1.82,0.0072
-1.81,0.0044
-1.8,0.0064
-1.79,0.006
-1.78,0.0056
-1.77,0.0048
-1.76,0.0048
-1.75,0.0056
-1.74,0.0072
-1.73,0.0044
-1.72,0.0048
-1.71,0.006
-1.7,0.0056
-1.69,0.0048
-1.68,0.008
-1.67,0.0048
-1.66,0.0048
-1.65,0.0048
-1.64,0.0032
-1.63,0.0064
-1.62,0.004
-1.61,0.0036
-1.6,0.0032
-1.59,0.0048
-1.58,0.004
-1.57,0.0064
-1.56,0.0032
-1.55,0.0056
-1.54,0.0072
-1.53,0.0052
-1.52,0.0048
-1.51,0.0024
-1.5,0.004
-1.49,0.006
-1.48,0.0064
-1.47,0.0036
-1.46,0.008
-1.45,0.004
-1.44,0.0032
-1.43,0.0052
-1.42,0.004
-1.41,0.0032
-1.4,0.0048
-1.39,0.0052
-1.38,0.004
-1.37,0.0064
-1.36,0.0048
-1.35,0.004
-1.34,0.0048
-1.33,0.006
-1.32,0.0032
-1.31,0.0064
-1.3,0.004
-1.29,0.0048
-1.28,0.0064
-1.27,0.0068
-1.26,0.0064
-1.25,0.0052
-1.24,0.0064
-1.23,0.0068
-1.22,0.0024
-1.21,0.0064
-1.2,0.0064
-1.19,0.0048
-1.18,0.0048
-1.17,0.0076
-1.16,0.0048
-1.15,0.0044
-1.14,0.0048
-1.13,0.006
-1.12,0.0064
-1.11,0.0052
-1.1,0.004
-1.09,0.0056
-1.08,0.0048
-1.07,0.002
-1.06,0.008
-1.05,0.0032
-1.04,0.0016
-1.03,0.002
-1.02,0.0064
-1.01,0.0048
-1,0.0032
-0.99,0.0048
-0.98,0.008
-0.97,0.0036
-0.96,0.0064
-0.95,0.0048
-0.94,0.0048
-0.93,0.0064
-0.92,0.008
-0.91,0.0044
-0.9,0.0032
-0.89,0.004
-0.88,0.0048
-0.87,0.004
-0.86,0.0056
-0.85,0.0068
-0.84,0.0064
-0.83,0.0056
-0.82,0.0056
-0.81,0.0052
-0.8,0.0048
-0.79,0.0052
-0.78,0.0064
-0.77,0.0048
-0.76,0.008
-0.75,0.004
-0.74,0.0056
-0.73,0.004
-0.72,0.0048
-0.71,0.0052
-0.7,0.004
-0.69,0.0068
-0.68,0.0032
-0.67,0.0048
-0.66,0.004
-0.65,0.0052
-0.64,0.0032
-0.63,0.0076
-0.62,0.0048
-0.61,0.0048
-0.6,0.0048
-0.59,0.004
-0.58,0.0056
-0.57,0.0048
-0.56,0.008
-0.55,0.0052
-0.54,0.0024
-0.53,0.0052
-0.52,0.0064
-0.51,0.0052
-0.5,0.0064
-0.49,0.0044
-0.48,0.0064
-0.47,0.004
-0.46,0.0056
-0.45,0.0048
-0.44,0
-0.43,-0.002
-0.42,0.0048
-0.41,0.0032
-0.4,0.0048
-0.39,0.0064
-0.38,-0.0016
-0.37,0
-0.36,0.0048
-0.35,0.0024
-0.34,0.004
-0.33,0.0064
-0.32,-0.0048
-0.31,-0.002
-0.3,-0.0016
-0.29,-0.0028
-0.28,-0
-0.27,-0.0028
-0.26,0.0048
-0.25,0.0052
-0.24,0.0064
-0.23,0.0056
-0.22,-0.0016
-0.21,-0.0012
-0.2,-0.0016
-0.19,0
-0.18,0.0056
-0.17,0.0072
-0.16,-0.0032
-0.15,-0.0004
-0.14,0.0048
-0.13,0.0032
-0.12,-0.0016
-0.11,-0.0016
-0.1,0.004
-0.09,0.0056
-0.08,0.0064
-0.07,0.0076
-0.06,0.0072
-0.05,0.0088
-0.04,-0.0032
-0.03,-0.0036
-0.02,0
-0.01,-0.0008
0,0.0032
0.01,0.006
0.02,0.008
0.03,0.0068
0.04,-0
0.05,-0.0028
0.06,0.0016
0.07,0.0032
0.08,0.0048
0.09,0.004
0.1,0.0072
0.11,0
0.12,-0
0.13,-0.0016
0.14,-0.0008
0.15,-0.0012
0.16,-0.0016
0.17,0.0064
0.18,0.0072
0.19,0.0064
0.2,0.008
0.21,-0.0032
0.22,-0.0032
0.23,0.0064
0.24,0.0048
0.25,0.0076
0.26,0.0072
0.27,0
0.28,0
0.29,0.0076
0.3,0.0048
0.31,0.0056
0.32,0.0096
0.33,-0.0016
0.34,-0.0016
0.35,-0.0004
0.36,0.0016
0.37,-0.0008
0.38,0
0.39,0.006
0.4,0.0048
0.41,0.0052
0.42,0.0048
0.43,0
0.44,-0.0016
0.45,-0.0004
0.46,-0.0008
0.47,0.0076
0.48,0.008
0.49,-0.0028
0.5,-0.0008
0.51,0.0072
0.52,0.0064
0.53,-0.0036
0.54,-0.0008
0.55,0.004
0.56,0.0064
0.57,0.0064
0.58,0.004
0.59,0.0056
0.6,0.008
0.61,-0.0024
0.62,-0.0024
0.63,-0.0028
0.64,-0.0016
0.65,0.0036
0.66,0.0056
0.67,0.0048
0.68,0.0064
0.69,-0.0004
0.7,-0.004
0.71,0.0064
0.72,0.0032
0.73,0.004
0.74,0.0056
0.75,0
0.76,-0.0016
0.77,-0.0024
0.78,0.0016
0.79,-0.0004
0.8,0.0032
0.81,0.0088
0.82,0.0048
0.83,0.0052
0.84,0.0032
0.85,-0.0016
0.86,-0.0008
0.87,0.0052
0.88,0.0032
0.89,0.006
